instname,tuition,revenue
Alabama A & M University,44321368.00,124593748.00 
University of Alabama at Birmingham,139441181.00,2460168213.00 
Southern Christian University,8285433.00,7216977.00 
Regions University,7286264.00,8563270.00 
Amridge University,8306614.00,8215151.00 
University of Alabama in Huntsville,57539507.00,193994052.00 
Alabama State University,44733564.00,116489416.00  
The University of Alabama,337623787.00,867997390.00 
Central Alabama Community College,7087200.00,18626311.00 
Athens State University,14834042.00,30791920.00 
Auburn University-Montgomery,27198672.00,72388458.00 
Auburn University at Montgomery,31844543.00,76762411.00 
Auburn University Main Campus,322114609.00,767269691.00 
Birmingham Southern College,39640086.00,47708539.00 
Chattahoochee Valley Community College,4913566.00,11232253.00 
Concordia College,4840106.00,5632460.00 
Concordia College-Selma,4705308.00,5777404.00 
Concordia College,4518979.00,6895517.00 
Concordia College-Selma,4236609.00,9271289.00 
South University-Montgomery,11473672.00,12099933.00 
Enterprise-Ozark Community College,8969611.00,24380602.00 
James H Faulkner State Community College,12584180.00,29653113.00 
Faulkner University,40140695.00,41876982.00 
Gadsden State Community College,19061515.00,52321291.00 
George C Wallace Community College-Dothan,13393577.00,35259367.00 
George C Wallace State Community College-Hanceville,17384488.00,47645567.00 
George C Wallace State Community College-Selma,6030931.00,18716275.00 
Herzing College,5278424.00,5278424.00 
Herzing University,7515107.00,7506557.00 
Huntingdon College,16721235.00,18348684.00 
Heritage Christian University,523430.00,3014427.00 
J F Drake State Technical College,3725156.00,12534115.00 
J F Ingram State Technical College,2219177.00,12819293.00 
Jacksonville State University,53266020.00,105171840.00 
Jefferson Davis Community College,3652070.00,12235693.00 
Jefferson State Community College,23177060.00,51108802.00 
John C Calhoun State Community College,28695734.00,56303542.00 
Judson College,3339522.00,8280704.00 
Lawson State Community College-Birmingham Campus,13264860.00,38223397.00 
University of West Alabama,30918057.00,54040605.00 
Lurleen B Wallace Community College,5194512.00,16012026.00 
Marion Military Institute,4893447.00,11464675.00 
Miles College,10544086.00,22910038.00 
University of Mobile,20849714.00,23375034.00 
University of Montevallo,21431523.00,49463215.00 
Northwest Shoals Community College-Muscle Shoals,11471885.00,37741426.00 
University of North Alabama,38291392.00,78457528.00 
Northeast Alabama Community College,9608005.00,20752113.00 
Oakwood College,22452179.00,40490642.00 
Oakwood University,23892663.00,45147133.00  